variable,run,value
x1,0,28.20524818667139
x1,1,0.7765245413357571
x1,2,-2.0570017193960837
x1,3,0.2416891723903876
x1,4,1.9532958105871252
x1,5,-1.1220697070641557
x1,6,-0.6871825144284048
x1,7,2.248734822496407
x1,8,0.41122627675602696
x1,9,-3.4892910141351203
x2,0,75.04861510394129
x2,1,3.5278361287410256
x2,2,3.1727107006959727
x2,3,17.751744459970404
x2,4,10.965729585766345
x2,5,-6.608926448227164
x2,6,9.575432194317932
x2,7,-2.793339489984663
x2,8,-0.08073621761732674
x2,9,2.812485545421765
x3,0,17.756077526010873
x3,1,0.4282284806553405
x3,2,0.03466707672925711
x3,3,2.0543026344015183
x3,4,-0.6785443328882086
x3,5,-0.6695532095622296
x3,6,0.33634665612066267
x3,7,-3.5034625278746203
x3,8,-1.5180824954739072
x3,9,-1.710978385737466
dummy1,0,0.0012249406705515397
dummy1,1,-0.009426983593384682
dummy1,2,-0.000109202606699418
dummy1,3,-0.0058542500870360885
dummy1,4,-0.004576134598414263
dummy1,5,-0.006325062220117169
dummy1,6,-0.007403604058483089
dummy1,7,-0.0008996943778443192
dummy1,8,0.0032812140713301876
dummy1,9,0.010251772972583954
dummy2,0,-0.02825719486348712
dummy2,1,0.02173960590791698
dummy2,2,-0.0008059007054377148
dummy2,3,-0.010352187455043698
dummy2,4,0.005287458041365758
dummy2,5,-0.0010167939556712407
dummy2,6,-0.004783816294585279
dummy2,7,0.0022004817634976893
dummy2,8,0.007018776664112845
dummy2,9,0.01094324824803846
